symbol,distribution_date,dividend_amount
1320,2025-06-22,2.95
4013,2025-05-26,1.12
9403,2025-05-20,0.038
2120,2025-07-15,1.0
4348,2025-07-09,0.105
1150,2025-05-27,0.3
4340,2025-05-29,0.13
4703,2025-05-29,0.16
7010,2025-05-20,0.55
4084,2025-05-14,0.325
4344,2025-06-19,0.125
1210,2025-06-15,1.0
2230,2025-06-01,0.05
1214,2025-05-29,0.5
4336,2025-05-29,0.08
4350,2025-05-07,0.38
4005,2025-06-02,2.0
4016,2025-05-15,1.25
8170,2025-06-03,0.6
8010,2025-06-22,1.5
8012,2025-07-06,0.3
2287,2025-07-09,0.5
8250,2025-06-25,1.2
1831,2025-04-24,0.08
7200,2025-04-23,3.2
9403,2025-04-22,0.026
1835,2025-07-06,2.08
3050,2025-07-01,0.7
1833,2025-04-21,1.25
3090,2025-04-27,0.25
1834,2025-04-20,0.13
3080,2025-05-08,1.0
4001,2025-04-23,0.11
4330,2025-04-24,0.16
4009,2025-07-23,0.5
6004,2025-04-29,1.15
4190,2025-04-16,0.23
4143,2025-07-13,1.6
4320,2025-04-29,0.25
2320,2025-04-22,1.0
3007,2025-06-19,0.45
4030,2025-07-17,1.0
4090,2025-05-29,0.75
3040,2025-04-15,0.8
4004,2025-04-20,0.5
4031,2025-04-17,1.0
4280,2026-01-15,0.07
4280,2025-10-16,0.07
4280,2025-08-14,0.07
4280,2025-06-26,0.07
2081,2025-06-19,1.5
4260,2025-06-15,1.0
4161,2025-05-29,0.1
4335,2025-04-23,0.14
2270,2025-04-10,9.0
1212,2025-04-29,3.0
2283,2025-04-22,1.29
4261,2025-03-26,0.59
2381,2025-04-08,1.35
4321,2025-04-06,0.375
4164,2025-03-25,3.0
4323,2025-05-01,0.5
1303,2025-04-13,0.125
4100,2025-06-11,1.5
4165,2025-05-22,4.0
4051,2025-04-27,0.11
4017,2025-07-16,0.3
5110,2025-05-29,0.7
4003,2025-04-07,3.0
2284,2025-05-15,1.0
2222,2025-03-26,0.3312
1111,2025-05-19,3.35
4322,2025-05-15,0.11
9403,2025-03-19,0.027
4012,2025-03-13,0.1
4007,2025-03-16,0.35
2200,2025-06-26,0.15
7203,2025-03-17,4.0
4018,2025-05-29,1.0
7010,2025-06-02,2.0
6070,2025-04-30,0.5
7010,2025-03-24,0.55
4150,2025-05-25,0.25
4015,2025-03-17,1.46
4334,2025-03-12,0.34
2382,2025-03-24,0.22
1322,2025-03-23,1.18
3010,2025-05-15,0.75
3020,2025-05-04,1.0
7020,2025-04-09,1.3
4263,2025-03-18,1.33
7030,2025-05-15,0.5
7202,2025-05-27,10.0
2223,2025-04-30,3.08
4013,2025-03-10,1.23
6015,2025-05-28,0.0569
1030,2025-03-04,0.4
4700,2025-02-25,0.23
1830,2025-03-05,1.18
4144,2025-02-27,0.75
4702,2025-02-24,0.27
1060,2025-05-19,1.0
1080,2025-02-19,0.65
3030,2025-05-12,1.5
9403,2025-02-20,0.054
1010,2025-04-24,0.9
4163,2025-02-25,0.63
1050,2025-05-29,0.5
4348,2025-04-10,0.105
1150,2025-05-08,0.3
1120,2025-04-24,1.46
1180,2025-02-24,1.0
4340,2025-02-27,0.14
4703,2025-02-27,0.19
9404,2025-02-06,0.21
4339,2025-03-16,0.084
3092,2025-04-29,1.25
4200,2025-03-13,1.5
4336,2025-02-27,0.08
9403,2025-01-19,0.008
2290,2025-03-16,1.0
1304,2025-03-24,0.5
4344,2025-02-27,0.125
4002,2025-05-15,2.0
2010,2025-03-04,1.7
2020,2025-02-17,3.0
2280,2025-04-24,1.0
4081,2025-01-13,0.5
4003,2024-12-31,5.0
1321,2025-01-21,1.5
2080,2025-01-29,1.1
4324,2025-01-21,0.035
4292,2025-01-22,1.25
3060,2024-12-30,0.5
4331,2024-12-24,0.4
4162,2024-12-18,2.0
2150,2024-12-29,0.9
4191,2024-12-22,0.5
2310,2024-12-16,0.5
3004,2024-12-12,0.25
3040,2024-12-15,0.65
4339,2025-01-16,0.07
4344,2024-12-01,0.125
4004,2024-12-01,0.5
4321,2024-11-21,0.375
4014,2024-12-18,1.0
4161,2024-12-08,0.1
2320,2024-12-02,0.5
4163,2024-11-25,0.63
4190,2024-11-20,0.26
4261,2024-12-05,0.54
2222,2024-11-26,0.4815
4144,2024-12-03,0.75
3090,2024-11-21,0.25
4263,2024-11-28,1.45
7010,2024-11-26,0.4
4007,2024-12-01,0.35
4013,2024-11-25,1.2
9403,2024-11-19,0.04
2286,2024-11-28,0.11
4348,2025-01-02,0.105
1301,2024-11-24,0.75
4291,2024-12-26,2.1
4340,2024-11-28,0.14
1830,2024-11-21,2.14
1150,2024-11-21,0.3
4336,2024-11-21,0.08
9403,2024-10-17,0.026
7020,2024-10-06,0.9
2270,2024-10-07,6.0
4339,2024-11-06,0.061
4050,2024-09-30,0.25
1140,2024-10-03,0.5
9403,2024-09-17,0.029
4031,2024-09-30,1.0
3040,2024-09-15,1.3
1834,2024-09-10,0.12
4330,2024-09-17,0.15
1322,2024-10-20,0.9
4701,2024-09-04,0.6
4051,2024-09-05,0.07
2300,2024-09-25,0.75
4335,2024-09-10,0.1
1030,2024-08-28,0.36
1831,2024-08-25,0.07
1060,2024-08-28,1.0
4334,2024-08-22,0.33
3003,2024-09-02,0.5
1833,2024-08-22,1.25
4190,2024-08-21,0.15
3050,2024-08-25,0.5
3092,2024-08-28,1.0
4700,2024-08-25,0.28
4263,2024-09-02,1.45
4261,2024-08-22,0.51
1080,2024-08-21,0.65
4001,2024-09-11,0.15
4324,2024-09-11,0.035
6014,2024-09-03,0.5
2222,2024-08-29,0.4815
4015,2024-08-25,1.6
1180,2024-08-25,0.9
1010,2024-08-22,0.8
2223,2024-10-15,3.6
6070,2024-10-15,0.5
2382,2024-10-01,0.216
4004,2024-09-08,0.5
1150,2024-09-01,0.25
1120,2024-08-26,1.25
1050,2024-08-26,1.0
2381,2024-08-22,1.35
1302,2024-10-10,0.6
3080,2024-10-03,0.6
4323,2024-09-30,0.5
6004,2024-09-15,1.15
4007,2024-08-21,0.35
4163,2024-08-25,0.625
2150,2024-08-22,0.6
7203,2024-08-20,3.5
2083,2024-09-05,0.35
