symbol,year,capital,total_liabilities,net_income,roe,roa,pe,eps,bvps,de,earnings_yield
2120,2024,600000000.0000,126122066.0000,295063946.0000,0.2651,0.2376,7.0400,5.000000,20.859500,0.083900,0.14204545
4081,2021,1000000000.0000,675304000.0000,225088000.0000,0.1888,0.1205,13.9778,1.875000,9.935400,0.490400,0.07154202
4081,2022,1000000000.0000,649881000.0000,171457000.0000,0.1382,0.0901,11.0606,1.430000,10.739200,0.429800,0.09041101
4081,2023,1200000000.0000,699658000.0000,88714000.0000,0.0666,0.0442,20.0270,0.740000,11.474300,0.453800,0.04993259
4081,2024,1200000000.0000,616773000.0000,131236000.0000,0.0929,0.0634,14.1835,1.090000,12.066500,0.328700,0.07050446
4082,2021,311355000.0000,676384756.0000,40881246.0000,0.1117,0.0392,,0.572300,5.122300,1.785300,
4082,2022,500000000.0000,654297769.0000,44980627.0000,0.0973,0.0397,,0.629700,7.823100,1.118500,
4082,2023,714285720.0000,500352813.0000,30968087.0000,0.0444,0.0241,20.6333,0.600000,11.721000,0.554000,0.04846534
4082,2024,714285720.0000,592365201.0000,22740221.0000,0.0271,0.0164,26.0455,0.440000,11.794100,0.644700,0.03839435
4083,2021,,,,,,,,,,
4083,2022,,,,,,,,,,
4083,2023,250000000.0000,1046765455.0000,212164631.0000,0.2382,0.1095,,8.486600,35.627000,1.064300,
4083,2024,250000000.0000,1379900966.0000,222384355.0000,0.2220,0.1004,20.2247,8.900000,44.505900,1.148500,0.04944449
4130,2021,177000000.0000,169871630.0000,-8343826.0000,-0.0840,-0.0290,-75.1058,-0.045800,0.547300,0.512900,
4130,2022,297000000.0000,85174391.0000,-7975100.0000,-0.0513,-0.0265,-38.9829,-0.040200,0.968700,0.299900,
4130,2023,297000000.0000,35065697.0000,3496076.0000,0.0164,0.0120,118.9398,0.016000,0.984700,0.052700,0.00840761
4130,2024,218295000.0000,37082818.0000,8375608.0000,0.0383,0.0316,122.4915,0.038400,1.021800,0.046900,0.00816383
4280,2021,37058823000.0000,18380459000.0000,1017427000.0000,0.0329,0.0200,37.4074,0.270000,8.335200,0.532300,0.02673268
4280,2022,37058823000.0000,20936354000.0000,6957868000.0000,0.2258,0.1338,4.1170,1.880000,8.291100,0.597600,0.24289531
4280,2023,37058823000.0000,17473917000.0000,1013243000.0000,0.0308,0.0189,26.4815,0.270000,9.490400,0.425700,0.03776221
4280,2024,37058823000.0000,15160370000.0000,1236970000.0000,0.0334,0.0227,26.7879,0.330000,10.505400,0.323600,0.03733029
8010,2021,1250000000.0000,9588419000.0000,288890000.0000,0.0984,0.0231,36.3850,1.775000,19.574600,0.016100,0.02748385
8010,2022,1250000000.0000,12127830000.0000,302193000.0000,0.0996,0.0218,33.3748,2.010000,20.883700,0.012300,0.02996273
8010,2023,1500000000.0000,14794909000.0000,616426000.0000,0.1825,0.0366,31.6788,4.110000,24.145400,0.014100,0.03156685
8010,2024,1500000000.0000,16517458000.0000,1022025000.0000,0.2524,0.0519,21.6422,6.820000,29.906400,0.026500,0.04620602
8012,2021,550000000.0000,1867877000.0000,23018000.0000,0.0270,0.0085,49.2383,0.339200,12.914200,0.001400,0.02030939
8012,2022,550000000.0000,1640816000.0000,38520000.0000,0.0442,0.0147,21.1207,0.580000,13.526000,0.003400,0.04734692
8012,2023,660000000.0000,1872354000.0000,44254000.0000,0.0483,0.0166,25.3731,0.670000,14.246600,0.001600,0.03941182
8012,2024,660000000.0000,2112798000.0000,37203000.0000,0.0388,0.0126,29.3929,0.560000,14.783000,0.014100,0.03402182
8020,2021,500000000.0000,666836000.0000,-85660000.0000,-0.2176,-0.0808,-13.3099,-1.710000,7.874400,0.006300,
8020,2022,500000000.0000,666105000.0000,-41378000.0000,-0.1107,-0.0398,-13.3012,-0.830000,7.080300,0.004900,
